"Step","prom car fold1 - Val Acc","prom car fold1 - Val Acc__MIN","prom car fold1 - Val Acc__MAX","prom ver fold2 - Val Acc","prom ver fold2 - Val Acc__MIN","prom ver fold2 - Val Acc__MAX","prom carver fold2 - Val Acc","prom carver fold2 - Val Acc__MIN","prom carver fold2 - Val Acc__MAX"
"0","0.7213773314203731","0.7213773314203731","0.7213773314203731","0.7164992826398853","0.7164992826398853","0.7164992826398853","0.7172166427546628","0.7172166427546628","0.7172166427546628"
"1","0.7098995695839311","0.7098995695839311","0.7098995695839311","0.7230989956958394","0.7230989956958394","0.7230989956958394","0.7073170731707317","0.7073170731707317","0.7073170731707317"
"2","0.7001434720229556","0.7001434720229556","0.7001434720229556","0.703012912482066","0.703012912482066","0.703012912482066","0.6674318507890962","0.6674318507890962","0.6674318507890962"
"3","0.6757532281205165","0.6757532281205165","0.6757532281205165","0.685222381635581","0.685222381635581","0.685222381635581","0.7057388809182209","0.7057388809182209","0.7057388809182209"
"4","0.6275466284074606","0.6275466284074606","0.6275466284074606","0.666571018651363","0.666571018651363","0.666571018651363","0.7041606886657101","0.7041606886657101","0.7041606886657101"
"5","0.6550932568149211","0.6550932568149211","0.6550932568149211","0.6814921090387375","0.6814921090387375","0.6814921090387375","0.6559540889526543","0.6559540889526543","0.6559540889526543"
"6","0.6436154949784791","0.6436154949784791","0.6436154949784791","0.6777618364418938","0.6777618364418938","0.6777618364418938","0.6700143472022956","0.6700143472022956","0.6700143472022956"
"7","0.6682926829268293","0.6682926829268293","0.6682926829268293","0.6599713055954088","0.6599713055954088","0.6599713055954088","0.7754662840746055","0.7754662840746055","0.7754662840746055"
"8","0.7302725968436155","0.7302725968436155","0.7302725968436155","0.7629842180774749","0.7629842180774749","0.7629842180774749","0.781635581061693","0.781635581061693","0.781635581061693"
"9","0.7480631276901004","0.7480631276901004","0.7480631276901004","0.7824964131994261","0.7824964131994261","0.7824964131994261","0.7829268292682927","0.7829268292682927","0.7829268292682927"
"10","0.7535150645624104","0.7535150645624104","0.7535150645624104","0.7905308464849354","0.7905308464849354","0.7905308464849354","0.7823529411764706","0.7823529411764706","0.7823529411764706"
"11","0.751506456241033","0.751506456241033","0.751506456241033","0.7945480631276901","0.7945480631276901","0.7945480631276901","0.7823529411764706","0.7823529411764706","0.7823529411764706"
"12","0.7546628407460545","0.7546628407460545","0.7546628407460545","0.7974175035868005","0.7974175035868005","0.7974175035868005","0.7827833572453372","0.7827833572453372","0.7827833572453372"
"13","0.7520803443328551","0.7520803443328551","0.7520803443328551","0.7948350071736011","0.7948350071736011","0.7948350071736011","0.7810616929698708","0.7810616929698708","0.7810616929698708"
"14","0.7566714490674319","0.7566714490674319","0.7566714490674319","0.7965566714490674","0.7965566714490674","0.7965566714490674","0.7806312769010043","0.7806312769010043","0.7806312769010043"
"15","0.7555236728837876","0.7555236728837876","0.7555236728837876","0.7948350071736011","0.7948350071736011","0.7948350071736011","0.7847919655667145","0.7847919655667145","0.7847919655667145"
"16","0.7552367288378766","0.7552367288378766","0.7552367288378766","0.7916786226685796","0.7916786226685796","0.7916786226685796","0.7820659971305596","0.7820659971305596","0.7820659971305596"
"17","0.7523672883787661","0.7523672883787661","0.7523672883787661","0.7945480631276901","0.7945480631276901","0.7945480631276901","0.7842180774748924","0.7842180774748924","0.7842180774748924"
"18","0.7552367288378766","0.7552367288378766","0.7552367288378766","0.793687230989957","0.793687230989957","0.793687230989957","0.7837876614060258","0.7837876614060258","0.7837876614060258"
"19","0.7546628407460545","0.7546628407460545","0.7546628407460545","0.7956958393113343","0.7956958393113343","0.7956958393113343","0.7826398852223816","0.7826398852223816","0.7826398852223816"
"20","0.7546628407460545","0.7546628407460545","0.7546628407460545","0.7965566714490674","0.7965566714490674","0.7965566714490674","0.7845050215208035","0.7845050215208035","0.7845050215208035"
"21","0.751506456241033","0.751506456241033","0.751506456241033","0.7956958393113343","0.7956958393113343","0.7956958393113343","0.7829268292682927","0.7829268292682927","0.7829268292682927"
"22","0.7552367288378766","0.7552367288378766","0.7552367288378766","0.793687230989957","0.793687230989957","0.793687230989957","0.7793400286944046","0.7793400286944046","0.7793400286944046"
"23","0.7503586800573888","0.7503586800573888","0.7503586800573888","0.7922525107604017","0.7922525107604017","0.7922525107604017","0.7820659971305596","0.7820659971305596","0.7820659971305596"
"24","0.7535150645624104","0.7535150645624104","0.7535150645624104","0.7916786226685796","0.7916786226685796","0.7916786226685796","0.7856527977044476","0.7856527977044476","0.7856527977044476"
"25","0.7563845050215208","0.7563845050215208","0.7563845050215208","","","","0.7823529411764706","0.7823529411764706","0.7823529411764706"
"26","0.758106169296987","0.758106169296987","0.758106169296987","","","","0.7826398852223816","0.7826398852223816","0.7826398852223816"
"27","0.7589670014347202","0.7589670014347202","0.7589670014347202","","","","0.7812051649928264","0.7812051649928264","0.7812051649928264"
"28","0.7586800573888092","0.7586800573888092","0.7586800573888092","","","","0.7833572453371592","0.7833572453371592","0.7833572453371592"
"29","","","","","","","0.7822094691535151","0.7822094691535151","0.7822094691535151"
"30","","","","","","","0.7814921090387374","0.7814921090387374","0.7814921090387374"
"31","","","","","","","0.7824964131994261","0.7824964131994261","0.7824964131994261"
"32","","","","","","","0.7814921090387374","0.7814921090387374","0.7814921090387374"
"33","","","","","","","0.7822094691535151","0.7822094691535151","0.7822094691535151"
"34","","","","","","","0.7820659971305596","0.7820659971305596","0.7820659971305596"
"35","","","","","","","0.7817790530846485","0.7817790530846485","0.7817790530846485"