"Step","prom car fold1 - F1 Score","prom car fold1 - F1 Score__MIN","prom car fold1 - F1 Score__MAX","prom ver fold2 - F1 Score","prom ver fold2 - F1 Score__MIN","prom ver fold2 - F1 Score__MAX","prom carver fold2 - F1 Score","prom carver fold2 - F1 Score__MIN","prom carver fold2 - F1 Score__MAX"
"0","0.7058789603015655","0.7058789603015655","0.7058789603015655","0.7105237824665692","0.7105237824665692","0.7105237824665692","0.7131926977680255","0.7131926977680255","0.7131926977680255"
"1","0.7066120152392787","0.7066120152392787","0.7066120152392787","0.719125138231577","0.719125138231577","0.719125138231577","0.7029243634508655","0.7029243634508655","0.7029243634508655"
"2","0.6923451971112451","0.6923451971112451","0.6923451971112451","0.7046071514496062","0.7046071514496062","0.7046071514496062","0.6521009078712874","0.6521009078712874","0.6521009078712874"
"3","0.6727784255429787","0.6727784255429787","0.6727784255429787","0.6867446544859213","0.6867446544859213","0.6867446544859213","0.6941959745197116","0.6941959745197116","0.6941959745197116"
"4","0.6239555200335354","0.6239555200335354","0.6239555200335354","0.6687099108785651","0.6687099108785651","0.6687099108785651","0.6961995926574073","0.6961995926574073","0.6961995926574073"
"5","0.6510988708953169","0.6510988708953169","0.6510988708953169","0.6820481079046621","0.6820481079046621","0.6820481079046621","0.6455840288314139","0.6455840288314139","0.6455840288314139"
"6","0.6369590932399656","0.6369590932399656","0.6369590932399656","0.6775052706072268","0.6775052706072268","0.6775052706072268","0.6609020576559798","0.6609020576559798","0.6609020576559798"
"7","0.6637701931537507","0.6637701931537507","0.6637701931537507","0.6580192126898204","0.6580192126898204","0.6580192126898204","0.7729189850283598","0.7729189850283598","0.7729189850283598"
"8","0.7260602352561284","0.7260602352561284","0.7260602352561284","0.7625425424927731","0.7625425424927731","0.7625425424927731","0.7788873368628818","0.7788873368628818","0.7788873368628818"
"9","0.7447602346855795","0.7447602346855795","0.7447602346855795","0.7815834594919108","0.7815834594919108","0.7815834594919108","0.780090289588925","0.780090289588925","0.780090289588925"
"10","0.7512727164268755","0.7512727164268755","0.7512727164268755","0.7890758362173478","0.7890758362173478","0.7890758362173478","0.7792558713922346","0.7792558713922346","0.7792558713922346"
"11","0.7491494365558397","0.7491494365558397","0.7491494365558397","0.7934672542775727","0.7934672542775727","0.7934672542775727","0.7794318368134181","0.7794318368134181","0.7794318368134181"
"12","0.752468671279271","0.752468671279271","0.752468671279271","0.7960396324238033","0.7960396324238033","0.7960396324238033","0.7799736050837586","0.7799736050837586","0.7799736050837586"
"13","0.7496117680516488","0.7496117680516488","0.7496117680516488","0.7936571620871068","0.7936571620871068","0.7936571620871068","0.7782104219898391","0.7782104219898391","0.7782104219898391"
"14","0.7548414539866182","0.7548414539866182","0.7548414539866182","0.7953320237724913","0.7953320237724913","0.7953320237724913","0.77746980719219","0.77746980719219","0.77746980719219"
"15","0.7530893823842647","0.7530893823842647","0.7530893823842647","0.7935711790096065","0.7935711790096065","0.7935711790096065","0.7814619818331822","0.7814619818331822","0.7814619818331822"
"16","0.7530851513422931","0.7530851513422931","0.7530851513422931","0.79072232484339","0.79072232484339","0.79072232484339","0.7788253295442009","0.7788253295442009","0.7788253295442009"
"17","0.750076216719098","0.750076216719098","0.750076216719098","0.7930610491262647","0.7930610491262647","0.7930610491262647","0.7809994620315899","0.7809994620315899","0.7809994620315899"
"18","0.7525032794369048","0.7525032794369048","0.7525032794369048","0.7922391650050683","0.7922391650050683","0.7922391650050683","0.7807501590121598","0.7807501590121598","0.7807501590121598"
"19","0.7523548901032142","0.7523548901032142","0.7523548901032142","0.7944516812482145","0.7944516812482145","0.7944516812482145","0.7799889525460059","0.7799889525460059","0.7799889525460059"
"20","0.7525062185201179","0.7525062185201179","0.7525062185201179","0.7951876008444961","0.7951876008444961","0.7951876008444961","0.7816414959881897","0.7816414959881897","0.7816414959881897"
"21","0.7490714493392397","0.7490714493392397","0.7490714493392397","0.794422907771025","0.794422907771025","0.794422907771025","0.7797984423033246","0.7797984423033246","0.7797984423033246"
"22","0.752741182455845","0.752741182455845","0.752741182455845","0.7921178978127803","0.7921178978127803","0.7921178978127803","0.7760078432136923","0.7760078432136923","0.7760078432136923"
"23","0.7479516967867302","0.7479516967867302","0.7479516967867302","0.7905946482030145","0.7905946482030145","0.7905946482030145","0.7785604547199282","0.7785604547199282","0.7785604547199282"
"24","0.75111915126117","0.75111915126117","0.75111915126117","0.7902916924345048","0.7902916924345048","0.7902916924345048","0.7830478346581013","0.7830478346581013","0.7830478346581013"
"25","0.7542801125297443","0.7542801125297443","0.7542801125297443","","","","0.7794318368134181","0.7794318368134181","0.7794318368134181"
"26","0.75575488301882","0.75575488301882","0.75575488301882","","","","0.7797226320186743","0.7797226320186743","0.7797226320186743"
"27","0.7565287045863117","0.7565287045863117","0.7565287045863117","","","","0.778307480025217","0.778307480025217","0.778307480025217"
"28","0.7562962938308747","0.7562962938308747","0.7562962938308747","","","","0.7804206738579188","0.7804206738579188","0.7804206738579188"
"29","","","","","","","0.7792378850989582","0.7792378850989582","0.7792378850989582"
"30","","","","","","","0.7784223571171331","0.7784223571171331","0.7784223571171331"
"31","","","","","","","0.7796254506904531","0.7796254506904531","0.7796254506904531"
"32","","","","","","","0.7782830960621476","0.7782830960621476","0.7782830960621476"
"33","","","","","","","0.7792961171115225","0.7792961171115225","0.7792961171115225"
"34","","","","","","","0.7793326463726805","0.7793326463726805","0.7793326463726805"
"35","","","","","","","0.778811348351169","0.778811348351169","0.778811348351169"