"Step","sub ver fold3 - F1 Score","sub ver fold3 - F1 Score__MIN","sub ver fold3 - F1 Score__MAX","sub car fold1 - F1 Score","sub car fold1 - F1 Score__MIN","sub car fold1 - F1 Score__MAX","sub carver fold1 - F1 Score","sub carver fold1 - F1 Score__MIN","sub carver fold1 - F1 Score__MAX"
"0","0.895633611618788","0.895633611618788","0.895633611618788","0.8973645891354771","0.8973645891354771","0.8973645891354771","0.9039019424163687","0.9039019424163687","0.9039019424163687"
"1","0.900726374899167","0.900726374899167","0.900726374899167","0.9030915784699497","0.9030915784699497","0.9030915784699497","0.9041718228661058","0.9041718228661058","0.9041718228661058"
"2","0.9003087005206648","0.9003087005206648","0.9003087005206648","0.9008257141727787","0.9008257141727787","0.9008257141727787","0.9079397092996356","0.9079397092996356","0.9079397092996356"
"3","0.9035981437787444","0.9035981437787444","0.9035981437787444","0.9031786926247245","0.9031786926247245","0.9031786926247245","0.9099040137464209","0.9099040137464209","0.9099040137464209"
"4","0.9051156953793574","0.9051156953793574","0.9051156953793574","0.9051696595566523","0.9051696595566523","0.9051696595566523","0.9109690527223978","0.9109690527223978","0.9109690527223978"
"5","0.9059270358592081","0.9059270358592081","0.9059270358592081","0.9065393702323772","0.9065393702323772","0.9065393702323772","0.912809109083931","0.912809109083931","0.912809109083931"
"6","0.9077204817794612","0.9077204817794612","0.9077204817794612","0.9072420177008066","0.9072420177008066","0.9072420177008066","0.9134342459775191","0.9134342459775191","0.9134342459775191"
"7","0.9080432755211305","0.9080432755211305","0.9080432755211305","0.9072684849987546","0.9072684849987546","0.9072684849987546","0.9140016494232446","0.9140016494232446","0.9140016494232446"
"8","0.9080908547368441","0.9080908547368441","0.9080908547368441","0.9088991756962508","0.9088991756962508","0.9088991756962508","0.9156314029177542","0.9156314029177542","0.9156314029177542"
"9","0.909208980437545","0.909208980437545","0.909208980437545","0.909227378035332","0.909227378035332","0.909227378035332","0.916328639437048","0.916328639437048","0.916328639437048"
"10","0.9094484033709885","0.9094484033709885","0.9094484033709885","0.9103838837816074","0.9103838837816074","0.9103838837816074","0.9149729408308939","0.9149729408308939","0.9149729408308939"
"11","0.9105043685965102","0.9105043685965102","0.9105043685965102","0.9096125582795861","0.9096125582795861","0.9096125582795861","0.9169944899774066","0.9169944899774066","0.9169944899774066"
"12","0.9102465671172455","0.9102465671172455","0.9102465671172455","0.9109343605892498","0.9109343605892498","0.9109343605892498","0.9181470225936547","0.9181470225936547","0.9181470225936547"
"13","0.9120280693991784","0.9120280693991784","0.9120280693991784","0.9113858732718505","0.9113858732718505","0.9113858732718505","0.9185700124334312","0.9185700124334312","0.9185700124334312"
"14","0.9118403712355903","0.9118403712355903","0.9118403712355903","0.9115582886100032","0.9115582886100032","0.9115582886100032","0.9186436327842361","0.9186436327842361","0.9186436327842361"
"15","0.9124427027182621","0.9124427027182621","0.9124427027182621","0.9119584573524789","0.9119584573524789","0.9119584573524789","0.9179649955939578","0.9179649955939578","0.9179649955939578"
"16","0.9122078346986439","0.9122078346986439","0.9122078346986439","0.9120101132590811","0.9120101132590811","0.9120101132590811","0.9191210464498879","0.9191210464498879","0.9191210464498879"
"17","0.9126876094219715","0.9126876094219715","0.9126876094219715","0.9128132205188589","0.9128132205188589","0.9128132205188589","0.9187131145351789","0.9187131145351789","0.9187131145351789"
"18","0.9116649172827799","0.9116649172827799","0.9116649172827799","0.9128726678927885","0.9128726678927885","0.9128726678927885","0.9191737605925178","0.9191737605925178","0.9191737605925178"
"19","0.9123764226300914","0.9123764226300914","0.9123764226300914","0.913312540397707","0.913312540397707","0.913312540397707","0.9182099405903505","0.9182099405903505","0.9182099405903505"
"20","0.9138545374342373","0.9138545374342373","0.9138545374342373","0.9134057497558976","0.9134057497558976","0.9134057497558976","0.9197570620275418","0.9197570620275418","0.9197570620275418"
"21","0.9147167183890931","0.9147167183890931","0.9147167183890931","0.9129005347327006","0.9129005347327006","0.9129005347327006","0.9194453061006167","0.9194453061006167","0.9194453061006167"
"22","0.9147965371232463","0.9147965371232463","0.9147965371232463","0.9128198498610797","0.9128198498610797","0.9128198498610797","0.9193487425735788","0.9193487425735788","0.9193487425735788"
"23","0.9145035236458343","0.9145035236458343","0.9145035236458343","0.9127544310759123","0.9127544310759123","0.9127544310759123","","",""
"24","0.9150724389643209","0.9150724389643209","0.9150724389643209","","","","","",""
"25","0.91559776674143","0.91559776674143","0.91559776674143","","","","","",""
"26","0.9161674674564467","0.9161674674564467","0.9161674674564467","","","","","",""
"27","0.9158284465904454","0.9158284465904454","0.9158284465904454","","","","","",""
"28","0.9157825733250948","0.9157825733250948","0.9157825733250948","","","","","",""
"29","0.9162729837341191","0.9162729837341191","0.9162729837341191","","","","","",""
"30","0.916757758168393","0.916757758168393","0.916757758168393","","","","","",""
"31","0.916053625169064","0.916053625169064","0.916053625169064","","","","","",""
"32","0.9161088344382964","0.9161088344382964","0.9161088344382964","","","","","",""
"33","0.9160887492043626","0.9160887492043626","0.9160887492043626","","","","","",""
"34","0.9161310174114817","0.9161310174114817","0.9161310174114817","","","","","",""