"Step","prom car wd0.01 img - Val Acc","prom car wd0.01 img - Val Acc__MIN","prom car wd0.01 img - Val Acc__MAX","prom ver wd0.01 img - Val Acc","prom ver wd0.01 img - Val Acc__MIN","prom ver wd0.01 img - Val Acc__MAX","prom carver wd0.01 img - Val Acc","prom carver wd0.01 img - Val Acc__MIN","prom carver wd0.01 img - Val Acc__MAX"
"0","0.6658104289750835","0.6658104289750835","0.6658104289750835","0.7061392242486514","0.7061392242486514","0.7061392242486514","0.6949653223734908","0.6949653223734908","0.6949653223734908"
"1","0.6930387875674288","0.6930387875674288","0.6930387875674288","0.7123041356280504","0.7123041356280504","0.7123041356280504","0.6879013614179296","0.6879013614179296","0.6879013614179296"
"2","0.6701772412021577","0.6701772412021577","0.6701772412021577","0.7066529668636014","0.7066529668636014","0.7066529668636014","0.6591317749807346","0.6591317749807346","0.6591317749807346"
"3","0.6681222707423581","0.6681222707423581","0.6681222707423581","0.6365270999229387","0.6365270999229387","0.6365270999229387","0.6376830208065759","0.6376830208065759","0.6376830208065759"
"4","0.6388389416902132","0.6388389416902132","0.6388389416902132","0.6568199332134601","0.6568199332134601","0.6568199332134601","0.6470588235294118","0.6470588235294118","0.6470588235294118"
"5","0.6447469817621372","0.6447469817621372","0.6447469817621372","0.6231697919342409","0.6231697919342409","0.6231697919342409","0.6554071410223478","0.6554071410223478","0.6554071410223478"
"6","0.6470588235294118","0.6470588235294118","0.6470588235294118","0.6293347033136398","0.6293347033136398","0.6293347033136398","0.6754431030053943","0.6754431030053943","0.6754431030053943"
"7","0.6157205240174672","0.6157205240174672","0.6157205240174672","0.6311328024659646","0.6311328024659646","0.6311328024659646","0.7622656049319291","0.7622656049319291","0.7622656049319291"
"8","0.7048548677112767","0.7048548677112767","0.7048548677112767","0.7102491651682507","0.7102491651682507","0.7102491651682507","0.7792191112252761","0.7792191112252761","0.7792191112252761"
"9","0.7367069098381711","0.7367069098381711","0.7367069098381711","0.7623940405856666","0.7623940405856666","0.7623940405856666","0.7819162599537631","0.7819162599537631","0.7819162599537631"
"10","0.7400462368353455","0.7400462368353455","0.7400462368353455","0.7695864371949653","0.7695864371949653","0.7695864371949653","0.7874389930644747","0.7874389930644747","0.7874389930644747"
"11","0.7397893655278706","0.7397893655278706","0.7397893655278706","0.7780631903416388","0.7780631903416388","0.7780631903416388","0.7860262008733624","0.7860262008733624","0.7860262008733624"
"12","0.7403031081428204","0.7403031081428204","0.7403031081428204","0.7736963781145646","0.7736963781145646","0.7736963781145646","0.7861546365270999","0.7861546365270999","0.7861546365270999"
"13","0.7387618802979707","0.7387618802979707","0.7387618802979707","0.7747238633444644","0.7747238633444644","0.7747238633444644","0.785897765219625","0.785897765219625","0.785897765219625"
"14","0.7415874646801952","0.7415874646801952","0.7415874646801952","0.7729257641921398","0.7729257641921398","0.7729257641921398","0.7878243000256872","0.7878243000256872","0.7878243000256872"
"15","0.7408168507577704","0.7408168507577704","0.7408168507577704","0.7742101207295146","0.7742101207295146","0.7742101207295146","0.7865399434883124","0.7865399434883124","0.7865399434883124"
"16","0.7395324942203956","0.7395324942203956","0.7395324942203956","0.7747238633444644","0.7747238633444644","0.7747238633444644","0.7876958643719496","0.7876958643719496","0.7876958643719496"
"17","0.7390187516054457","0.7390187516054457","0.7390187516054457","0.7724120215771898","0.7724120215771898","0.7724120215771898","0.7876958643719496","0.7876958643719496","0.7876958643719496"
"18","0.7395324942203956","0.7395324942203956","0.7395324942203956","0.7742101207295146","0.7742101207295146","0.7742101207295146","0.785897765219625","0.785897765219625","0.785897765219625"
"19","0.7382481376830208","0.7382481376830208","0.7382481376830208","0.7731826354996147","0.7731826354996147","0.7731826354996147","0.7851271512972001","0.7851271512972001","0.7851271512972001"
"20","0.7421012072951452","0.7421012072951452","0.7421012072951452","0.771127665039815","0.771127665039815","0.771127665039815","0.7852555869509376","0.7852555869509376","0.7852555869509376"
"21","0.74287182121757","0.74287182121757","0.74287182121757","0.7724120215771898","0.7724120215771898","0.7724120215771898","0.7852555869509376","0.7852555869509376","0.7852555869509376"
"22","0.7367069098381711","0.7367069098381711","0.7367069098381711","0.77138453634729","0.77138453634729","0.77138453634729","0.7838427947598253","0.7838427947598253","0.7838427947598253"
"23","0.7377343950680709","0.7377343950680709","0.7377343950680709","0.7760082198818392","0.7760082198818392","0.7760082198818392","0.7832006164911379","0.7832006164911379","0.7832006164911379"
"24","0.7403031081428204","0.7403031081428204","0.7403031081428204","0.7752376059594144","0.7752376059594144","0.7752376059594144","0.7860262008733624","0.7860262008733624","0.7860262008733624"
"25","0.7382481376830208","0.7382481376830208","0.7382481376830208","0.7754944772668892","0.7754944772668892","0.7754944772668892","0.7857693295658875","0.7857693295658875","0.7857693295658875"
"26","0.7392756229129206","0.7392756229129206","0.7392756229129206","0.7747238633444644","0.7747238633444644","0.7747238633444644","0.7860262008733624","0.7860262008733624","0.7860262008733624"
"27","0.7405599794502954","0.7405599794502954","0.7405599794502954","0.7742101207295146","0.7742101207295146","0.7742101207295146","","",""
"28","0.7405599794502954","0.7405599794502954","0.7405599794502954","0.7744669920369894","0.7744669920369894","0.7744669920369894","","",""
"29","0.7390187516054457","0.7390187516054457","0.7390187516054457","0.7736963781145646","0.7736963781145646","0.7736963781145646","","",""
"30","0.7397893655278706","0.7397893655278706","0.7397893655278706","0.7754944772668892","0.7754944772668892","0.7754944772668892","","",""
"31","0.7410737220652454","0.7410737220652454","0.7410737220652454","0.7744669920369894","0.7744669920369894","0.7744669920369894","","",""
"32","0.7408168507577704","0.7408168507577704","0.7408168507577704","0.7736963781145646","0.7736963781145646","0.7736963781145646","","",""
"33","0.7405599794502954","0.7405599794502954","0.7405599794502954","0.7742101207295146","0.7742101207295146","0.7742101207295146","","",""
"34","0.74287182121757","0.74287182121757","0.74287182121757","0.7739532494220396","0.7739532494220396","0.7739532494220396","","",""
"35","0.7408168507577704","0.7408168507577704","0.7408168507577704","0.7734395068070896","0.7734395068070896","0.7734395068070896","","",""
"36","0.7382481376830208","0.7382481376830208","0.7382481376830208","0.7731826354996147","0.7731826354996147","0.7731826354996147","","",""
"37","0.7390187516054457","0.7390187516054457","0.7390187516054457","0.7734395068070896","0.7734395068070896","0.7734395068070896","","",""
"38","0.743128692525045","0.743128692525045","0.743128692525045","","","","","",""
"39","0.7413305933727202","0.7413305933727202","0.7413305933727202","","","","","",""
"40","0.7451836629848446","0.7451836629848446","0.7451836629848446","","","","","",""
"41","0.7438993064474698","0.7438993064474698","0.7438993064474698","","","","","",""
"42","0.7415874646801952","0.7415874646801952","0.7415874646801952","","","","","",""
"43","0.7436424351399948","0.7436424351399948","0.7436424351399948","","","","","",""
"44","0.74235807860262","0.74235807860262","0.74235807860262","","","","","",""
"45","0.742614949910095","0.742614949910095","0.742614949910095","","","","","",""
"46","0.7454405342923196","0.7454405342923196","0.7454405342923196","","","","","",""
"47","0.7467248908296943","0.7467248908296943","0.7467248908296943","","","","","",""
"48","0.7444130490624197","0.7444130490624197","0.7444130490624197","","","","","",""
"49","0.7462111482147444","0.7462111482147444","0.7462111482147444","","","","","",""
"50","0.7454405342923196","0.7454405342923196","0.7454405342923196","","","","","",""
"51","0.74287182121757","0.74287182121757","0.74287182121757","","","","","",""
"52","0.7454405342923196","0.7454405342923196","0.7454405342923196","","","","","",""
"53","0.7421012072951452","0.7421012072951452","0.7421012072951452","","","","","",""
"54","0.7456974055997945","0.7456974055997945","0.7456974055997945","","","","","",""
"55","0.7444130490624197","0.7444130490624197","0.7444130490624197","","","","","",""
"56","0.7456974055997945","0.7456974055997945","0.7456974055997945","","","","","",""
"57","0.7446699203698947","0.7446699203698947","0.7446699203698947","","","","","",""
"58","0.7433855638325199","0.7433855638325199","0.7433855638325199","","","","","",""
"59","0.7441561777549448","0.7441561777549448","0.7441561777549448","","","","","",""
"60","0.7449267916773696","0.7449267916773696","0.7449267916773696","","","","","",""
"61","0.7454405342923196","0.7454405342923196","0.7454405342923196","","","","","",""
"62","0.7444130490624197","0.7444130490624197","0.7444130490624197","","","","","",""
"63","0.7459542769072695","0.7459542769072695","0.7459542769072695","","","","","",""