"Step","sub carver img - Validation","sub carver img - Validation__MIN","sub carver img - Validation__MAX","sub ver img - Validation","sub ver img - Validation__MIN","sub ver img - Validation__MAX","sub car img - Validation","sub car img - Validation__MIN","sub car img - Validation__MAX"
"0","0.24805599451065063","0.24805599451065063","0.24805599451065063","0.23696894943714142","0.23696894943714142","0.23696894943714142","0.23948213458061218","0.23948213458061218","0.23948213458061218"
"1","0.22582894563674927","0.22582894563674927","0.22582894563674927","0.24576574563980103","0.24576574563980103","0.24576574563980103","0.24822399020195007","0.24822399020195007","0.24822399020195007"
"2","0.20989447832107544","0.20989447832107544","0.20989447832107544","0.2398664653301239","0.2398664653301239","0.2398664653301239","0.24276022613048553","0.24276022613048553","0.24276022613048553"
"3","0.20312228798866272","0.20312228798866272","0.20312228798866272","0.2197275161743164","0.2197275161743164","0.2197275161743164","0.2252068966627121","0.2252068966627121","0.2252068966627121"
"4","0.20178407430648804","0.20178407430648804","0.20178407430648804","0.2090999037027359","0.2090999037027359","0.2090999037027359","0.21705469489097595","0.21705469489097595","0.21705469489097595"
"5","0.1987466812133789","0.1987466812133789","0.1987466812133789","0.2043287754058838","0.2043287754058838","0.2043287754058838","0.21331697702407837","0.21331697702407837","0.21331697702407837"
"6","0.19771221280097961","0.19771221280097961","0.19771221280097961","0.2031974494457245","0.2031974494457245","0.2031974494457245","0.21053701639175415","0.21053701639175415","0.21053701639175415"
"7","0.19548103213310242","0.19548103213310242","0.19548103213310242","0.20006915926933289","0.20006915926933289","0.20006915926933289","0.20866888761520386","0.20866888761520386","0.20866888761520386"
"8","0.1946372389793396","0.1946372389793396","0.1946372389793396","0.1992001235485077","0.1992001235485077","0.1992001235485077","0.20748069882392883","0.20748069882392883","0.20748069882392883"
"9","0.19326965510845184","0.19326965510845184","0.19326965510845184","0.1977485716342926","0.1977485716342926","0.1977485716342926","0.20723503828048706","0.20723503828048706","0.20723503828048706"
"10","0.19176948070526123","0.19176948070526123","0.19176948070526123","0.19696179032325745","0.19696179032325745","0.19696179032325745","0.20579859614372253","0.20579859614372253","0.20579859614372253"
"11","0.19089478254318237","0.19089478254318237","0.19089478254318237","0.19651265442371368","0.19651265442371368","0.19651265442371368","0.20476162433624268","0.20476162433624268","0.20476162433624268"
"12","0.19160118699073792","0.19160118699073792","0.19160118699073792","0.19502553343772888","0.19502553343772888","0.19502553343772888","0.2053203582763672","0.2053203582763672","0.2053203582763672"
"13","0.19125977158546448","0.19125977158546448","0.19125977158546448","0.1942334920167923","0.1942334920167923","0.1942334920167923","0.2048412263393402","0.2048412263393402","0.2048412263393402"
"14","0.18963217735290527","0.18963217735290527","0.18963217735290527","0.19454006850719452","0.19454006850719452","0.19454006850719452","0.20515434443950653","0.20515434443950653","0.20515434443950653"
"15","0.19097302854061127","0.19097302854061127","0.19097302854061127","0.1928371638059616","0.1928371638059616","0.1928371638059616","0.20426343381404877","0.20426343381404877","0.20426343381404877"
"16","0.1896953135728836","0.1896953135728836","0.1896953135728836","0.19367237389087677","0.19367237389087677","0.19367237389087677","0.20435172319412231","0.20435172319412231","0.20435172319412231"
"17","0.19119149446487427","0.19119149446487427","0.19119149446487427","0.19211408495903015","0.19211408495903015","0.19211408495903015","0.20452430844306946","0.20452430844306946","0.20452430844306946"
"18","0.19226107001304626","0.19226107001304626","0.19226107001304626","0.19185034930706024","0.19185034930706024","0.19185034930706024","0.2050214558839798","0.2050214558839798","0.2050214558839798"
"19","0.19130033254623413","0.19130033254623413","0.19130033254623413","0.19428163766860962","0.19428163766860962","0.19428163766860962","0.2050430178642273","0.2050430178642273","0.2050430178642273"
"20","0.19228671491146088","0.19228671491146088","0.19228671491146088","0.19125890731811523","0.19125890731811523","0.19125890731811523","0.20553529262542725","0.20553529262542725","0.20553529262542725"
"21","0.19289572536945343","0.19289572536945343","0.19289572536945343","0.19243140518665314","0.19243140518665314","0.19243140518665314","0.20608185231685638","0.20608185231685638","0.20608185231685638"
"22","0.19277866184711456","0.19277866184711456","0.19277866184711456","0.19591911137104034","0.19591911137104034","0.19591911137104034","0.20502552390098572","0.20502552390098572","0.20502552390098572"
"23","0.1930505335330963","0.1930505335330963","0.1930505335330963","0.19265615940093994","0.19265615940093994","0.19265615940093994","0.20526690781116486","0.20526690781116486","0.20526690781116486"
"24","","","","0.1931358426809311","0.1931358426809311","0.1931358426809311","0.20504051446914673","0.20504051446914673","0.20504051446914673"
"25","","","","0.1922067552804947","0.1922067552804947","0.1922067552804947","","",""
"26","","","","0.19597215950489044","0.19597215950489044","0.19597215950489044","","",""
"27","","","","0.191797137260437","0.191797137260437","0.191797137260437","","",""
"28","","","","0.1922222077846527","0.1922222077846527","0.1922222077846527","","",""
"29","","","","0.19233886897563934","0.19233886897563934","0.19233886897563934","","",""